CellID,x,y,x_align,y_align
16.918x16.996,16.918,16.996,4622.5872,4656.4356
18.017x17.034,18.017,17.034,4941.7368,4667.4974
20.075x17.059,20.075,17.059,5539.38,4674.7749
18.979x17.065,18.979,17.065,5221.1016,4676.5215
21.937x16.967,21.937,16.967,6080.1048,4647.9937
20.899x17.015,20.899,17.015,5778.6696,4661.9665
24.121x17.055,24.121,17.055,6714.3384,4673.6105
23.122x17.085,23.122,17.085,6424.2288,4682.3435
25.068x16.996,25.068,16.996,6989.3472,4656.4356
26.035x16.991,26.035,16.991,7270.164,4654.9801
26.987x16.997,26.987,16.997,7546.6248,4656.7267
27.948x16.969,27.948,16.969,7825.6992,4648.5759
9.868x17.084,9.868,17.084,2575.2672,4682.0524
9.004x17.028,9.004,17.028,2324.3616,4665.7508
12.074x17.04,12.074,17.04,3215.8896,4669.244
10.908x16.974,10.908,16.974,2877.2832,4650.0314
13.045x17.149,13.045,17.149,3497.868,4700.9739
14.014x17.063,14.014,17.063,3779.2656,4675.9393
15.011x17.051,15.011,17.051,4068.7944,4672.4461
16.003x17.048,16.003,17.048,4356.8712,4671.5728
15.076x19.996,15.076,19.996,4087.6704,5529.7356
15.063x19.016,15.063,19.016,4083.8952,5244.4576
15.019x18.024,15.019,18.024,4071.1176,4955.6864
15.932x18.0,15.932,18,4336.2528,4948.7
15.893x20.047,15.893,20.047,4324.9272,5544.5817
15.936x19.021,15.936,19.021,4337.4144,5245.9131
12.973x18.014,12.973,18.014,3476.9592,4952.7754
14.07x18.032,14.07,18.032,3795.528,4958.0152
13.059x20.044,13.059,20.044,3501.9336,5543.7084
14.013x19.054,14.013,19.054,3778.9752,5255.5194
14.004x20.024,14.004,20.024,3776.3616,5537.8864
13.061x19.072,13.061,19.072,3502.5144,5260.7592
13.969x21.05,13.969,21.05,3766.1976,5836.555
14.069x21.943,14.069,21.943,3795.2376,6096.5073
13.058x22.014,13.058,22.014,3501.6432,6117.1754
13.014x20.919,13.014,20.919,3488.8656,5798.4209
15.89x21.016,15.89,21.016,4324.056,5826.6576
15.084x21.071,15.084,21.071,4089.9936,5842.6681
15.051x21.998,15.051,21.998,4080.4104,6112.5178
15.996x22.102,15.996,22.102,4354.8384,6142.7922
12.08x19.06,12.08,19.06,3217.632,5257.266
12.121x18.058,12.121,18.058,3229.5384,4965.5838
12.092x20.032,12.092,20.032,3221.1168,5540.2152
10.896x18.992,10.896,18.992,2873.7984,5237.4712
10.877x17.97,10.877,17.97,2868.2808,4939.967
10.868x20.032,10.868,20.032,2865.6672,5540.2152
9.959x20.044,9.959,20.044,2601.6936,5543.7084
9.918x18.981,9.918,18.981,2589.7872,5234.2691
9.023x19.044,9.023,19.044,2329.8792,5252.6084
9.018x20.048,9.018,20.048,2328.4272,5544.8728
9.899x17.997,9.899,17.997,2584.2696,4947.8267
9.049x18.018,9.049,18.018,2337.4296,4953.9398
9.068x20.979,9.068,20.979,2342.9472,5815.8869
9.906x20.97,9.906,20.97,2586.3024,5813.267
9.966x21.951,9.966,21.951,2603.7264,6098.8361
9.059x22.014,9.059,22.014,2340.3336,6117.1754
12.131x21.968,12.131,21.968,3232.4424,6103.7848
12.073x21.045,12.073,21.045,3215.5992,5835.0995
10.868x20.971,10.868,20.971,2865.6672,5813.5581
10.903x21.945,10.903,21.945,2875.8312,6097.0895
10.899x23.91,10.899,23.91,2874.6696,6669.101
12.153x24.01,12.153,24.01,3238.8312,6698.211
12.115x22.986,12.115,22.986,3227.796,6400.1246
10.857x22.897,10.857,22.897,2862.4728,6374.2167
9.03x23.949,9.03,23.949,2331.912,6680.4539
9.056x22.94,9.056,22.94,2339.4624,6386.734
9.966x23.953,9.966,23.953,2603.7264,6681.6183
9.999x22.935,9.999,22.935,2613.3096,6385.2785
9.074x24.935,9.074,24.935,2344.6896,6967.4785
9.951x24.909,9.951,24.909,2599.3704,6959.9099
12.123x25.002,12.123,25.002,3230.1192,6986.9822
10.86x24.947,10.86,24.947,2863.344,6970.9717
15.949x22.955,15.949,22.955,4341.1896,6391.1005
15.98x23.961,15.98,23.961,4350.192,6683.9471
15.009x22.966,15.009,22.966,4068.2136,6394.3026
15.073x23.973,15.073,23.973,4086.7992,6687.4403
13.048x23.951,13.048,23.951,3498.7392,6681.0361
13.067x22.915,13.067,22.915,3504.2568,6379.4565
14.05x23.965,14.05,23.965,3789.72,6685.1115
14.048x22.95,14.048,22.95,3789.1392,6389.645
13.111x24.919,13.111,24.919,3517.0344,6962.8209
14.085x24.905,14.085,24.905,3799.884,6958.7455
15.033x24.886,15.033,24.886,4075.1832,6953.2146
15.953x24.959,15.953,24.959,4342.3512,6974.4649
29.058x18.046,29.058,18.046,8148.0432,4962.0906
29.077x18.972,29.077,18.972,8153.5608,5231.6492
29.042x20.088,29.042,20.088,8143.3968,5556.5168
28.971x20.971,28.971,20.971,8122.7784,5813.5581
28.989x21.969,28.989,21.969,8128.0056,6104.0759
27.011x20.052,27.011,20.052,7553.5944,5546.0372
26.98x18.983,26.98,18.983,7544.592,5234.8513
26.993x17.966,26.993,17.966,7548.3672,4938.8026
27.979x17.991,27.979,17.991,7834.7016,4946.0801
28.011x18.987,28.011,18.987,7843.9944,5236.0157
27.995x20.017,27.995,20.017,7839.348,5535.8487
25.06x19.024,25.06,19.024,6987.024,5246.7864
25.062x20.007,25.062,20.007,6987.6048,5532.9377
26.027x20.023,26.027,20.023,7267.8408,5537.5953
26.064x17.981,26.064,17.981,7278.5856,4943.1691
25.044x18.022,25.044,18.022,6982.3776,4955.1042
26.071x18.994,26.071,18.994,7280.6184,5238.0534
26.111x21.979,26.111,21.979,7292.2344,6106.9869
25.055x21.994,25.055,21.994,6985.572,6111.3534
26.076x20.965,26.076,20.965,7282.0704,5811.8115
25.04x21.01,25.04,21.01,6981.216,5824.911
27.937x20.97,27.937,20.97,7822.5048,5813.267
27.038x20.951,27.038,20.951,7561.4352,5807.7361
26.991x21.958,26.991,21.958,7547.7864,6100.8738
27.97x21.947,27.97,21.947,7832.088,6097.6717
27.977x22.897,27.977,22.897,7834.1208,6374.2167
28.0x23.902,28,23.902,7840.8,6666.7722
27.012x22.908,27.012,22.908,7553.8848,6377.4188
26.993x23.896,26.993,23.896,7548.3672,6665.0256
26.03x23.935,26.03,23.935,7268.712,6676.3785
26.072x22.884,26.072,22.884,7280.9088,6370.4324
25.107x22.896,25.107,22.896,7000.6728,6373.9256
25.119x23.921,25.119,23.921,7004.1576,6672.3031
25.013x24.806,25.013,24.806,6973.3752,6929.9266
26.159x24.845,26.159,24.845,7306.1736,6941.2795
27.976x24.882,27.976,24.882,7833.8304,6952.0502
27.031x24.865,27.031,24.865,7559.4024,6947.1015
28.98x23.89,28.98,23.89,8125.392,6663.279
28.994x22.861,28.994,22.861,8129.4576,6363.7371
29.007x24.906,29.007,24.906,8133.2328,6959.0366
23.159x20.027,23.159,20.027,6434.9736,5538.7597
23.1x19.036,23.1,19.036,6417.84,5250.2796
24.124x19.029,24.124,19.029,6715.2096,5248.2419
24.122x18.025,24.122,18.025,6714.6288,4955.9775
24.096x20.049,24.096,20.049,6707.0784,5545.1639
23.114x18.019,23.114,18.019,6421.9056,4954.2309
21.919x17.952,21.919,17.952,6074.8776,4934.7272
20.975x20.036,20.975,20.036,5800.74,5541.3796
20.97x17.974,20.97,17.974,5799.288,4941.1314
21.934x18.934,21.934,18.934,6079.2336,5220.5874
21.956x19.964,21.956,19.964,6085.6224,5520.4204
20.96x18.968,20.96,18.968,5796.384,5230.4848
20.929x20.972,20.929,20.972,5787.3816,5813.8492
21.933x21.931,21.933,21.931,6078.9432,6093.0141
21.006x21.941,21.006,21.941,5809.7424,6095.9251
21.976x20.925,21.976,20.925,6091.4304,5800.1675
24.1x22.013,24.1,22.013,6708.24,6116.8843
23.115x21.019,23.115,21.019,6422.196,5827.5309
23.156x22.013,23.156,22.013,6434.1024,6116.8843
24.13x21.008,24.13,21.008,6716.952,5824.3288
19.037x17.976,19.037,17.976,5237.9448,4941.7136
20.051x20.007,20.051,20.007,5532.4104,5532.9377
18.978x20.047,18.978,20.047,5220.8112,5544.5817
18.957x18.977,18.957,18.977,5214.7128,5233.1047
19.993x18.035,19.993,18.035,5515.5672,4958.8885
20.062x19.0,20.062,19,5535.6048,5239.8
16.987x17.981,16.987,17.981,4642.6248,4943.1691
17.028x19.984,17.028,19.984,4654.5312,5526.2424
17.956x18.006,17.956,18.006,4924.0224,4950.4466
16.987x18.995,16.987,18.995,4642.6248,5238.3445
17.976x19.0,17.976,19,4929.8304,5239.8
17.998x20.091,17.998,20.091,4936.2192,5557.3901
18.068x22.018,18.068,22.018,4956.5472,6118.3398
17.988x21.045,17.988,21.045,4933.3152,5835.0995
16.981x20.987,16.981,20.987,4640.8824,5818.2157
16.965x22.101,16.965,22.101,4636.236,6142.5011
19.032x21.982,19.032,21.982,5236.4928,6107.8602
18.98x21.065,18.98,21.065,5221.392,5840.9215
20.072x20.997,20.072,20.997,5538.5088,5821.1267
20.053x21.979,20.053,21.979,5532.9912,6106.9869
20.078x22.838,20.078,22.838,5540.2512,6357.0418
20.111x23.889,20.111,23.889,5549.8344,6662.9879
19.039x23.982,19.039,23.982,5238.5256,6690.0602
18.984x22.881,18.984,22.881,5222.5536,6369.5591
16.93x22.932,16.93,22.932,4626.072,6384.4052
18.155x22.881,18.155,22.881,4981.812,6369.5591
16.869x23.909,16.869,23.909,4608.3576,6668.8099
18.126x23.926,18.126,23.926,4973.3904,6673.7586
16.988x24.905,16.988,24.905,4642.9152,6958.7455
18.033x24.967,18.033,24.967,4946.3832,6976.7937
18.997x24.953,18.997,24.953,5226.3288,6972.7183
20.094x24.903,20.094,24.903,5544.8976,6958.1633
23.176x22.999,23.176,22.999,6439.9104,6403.9089
24.112x22.904,24.112,22.904,6711.7248,6376.2544
24.115x23.954,24.115,23.954,6712.596,6681.9094
23.182x23.977,23.182,23.977,6441.6528,6688.6047
20.923x23.871,20.923,23.871,5785.6392,6657.7481
21.938x23.891,21.938,23.891,6080.3952,6663.5701
21.949x22.839,21.949,22.839,6083.5896,6357.3329
21.011x22.796,21.011,22.796,5811.1944,6344.8156
21.016x24.87,21.016,24.87,5812.6464,6948.557
21.956x24.877,21.956,24.877,6085.6224,6950.5947
23.227x24.938,23.227,24.938,6454.7208,6968.3518
24.213x24.842,24.213,24.842,6741.0552,6940.4062
17.994x15.992,17.994,15.992,4935.0576,4364.1712
16.927x15.977,16.927,15.977,4625.2008,4359.8047
18.904x15.986,18.904,15.986,5199.3216,4362.4246
20.085x15.949,20.085,15.949,5542.284,4351.6539
21.901x15.95,21.901,15.95,6069.6504,4351.945
20.933x15.956,20.933,15.956,5788.5432,4353.6916
23.132x16.038,23.132,16.038,6427.1328,4377.5618
24.059x16.02,24.059,16.02,6696.3336,4372.322
26.042x15.983,26.042,15.983,7272.1968,4361.5513
25.075x16.007,25.075,16.007,6991.38,4368.5377
26.992x15.973,26.992,15.973,7548.0768,4358.6403
9.885x15.988,9.885,15.988,2580.204,4363.0068
12.064x16.067,12.064,16.067,3212.9856,4386.0037
10.877x15.971,10.877,15.971,2868.2808,4358.0581
13.093x16.033,13.093,16.033,3511.8072,4376.1063
14.008x16.038,14.008,16.038,3777.5232,4377.5618
15.956x16.001,15.956,16.001,4343.2224,4366.7911
15.001x16.014,15.001,16.014,4065.8904,4370.5754
17.002x15.002,17.002,15.002,4646.9808,4075.9822
17.969x15.026,17.969,15.026,4927.7976,4082.9686
12.045x15.052,12.045,15.052,3207.468,4090.5372
10.877x14.964,10.877,14.964,2868.2808,4064.9204
15.026x15.004,15.026,15.004,4073.1504,4076.5644
15.908x15.036,15.908,15.036,4329.2832,4085.8796
13.083x15.039,13.083,15.039,3508.9032,4086.7529
13.973x15.034,13.973,15.034,3767.3592,4085.2974
23.151x15.033,23.151,15.033,6432.6504,4085.0063
24.092x15.02,24.092,15.02,6705.9168,4081.222
21.908x14.979,21.908,14.979,6071.6832,4069.2869
25.077x15.02,25.077,15.02,6991.9608,4081.222
17.983x13.979,17.983,13.979,4931.8632,3778.1869
16.906x13.965,16.906,13.965,4619.1024,3774.1115
15.042x14.003,15.042,14.003,4077.7968,3785.1733
15.96x13.988,15.96,13.988,4344.384,3780.8068
14.015x14.092,14.015,14.092,3779.556,3811.0812
9.938x25.924,9.938,25.924,2595.5952,7255.3764
10.906x25.928,10.906,25.928,2876.7024,7256.5408
12.211x26.031,12.211,26.031,3255.6744,7286.5241
13.941x25.99,13.941,25.99,3758.0664,7274.589
13.052x25.997,13.052,25.997,3499.9008,7276.6267
15.065x25.942,15.065,25.942,4084.476,7260.6162
15.954x25.936,15.954,25.936,4342.6416,7258.8696
25.117x25.95,25.117,25.95,7003.5768,7262.945
26.096x25.912,26.096,25.912,7287.8784,7251.8832
26.984x25.925,26.984,25.925,7545.7536,7255.6675
27.963x25.91,27.963,25.91,7830.0552,7251.301
28.951x25.907,28.951,25.907,8116.9704,7250.4277
16.996x25.92,16.996,25.92,4645.2384,7254.212
17.98x25.935,17.98,25.935,4930.992,7258.5785
19.04x25.9,19.04,25.9,5238.816,7248.39
20.045x25.924,20.045,25.924,5530.668,7255.3764
20.999x25.892,20.999,25.892,5807.7096,7246.0612
21.945x25.895,21.945,25.895,6082.428,7246.9345
24.036x25.953,24.036,25.953,6689.6544,7263.8183
23.245x26.014,23.245,26.014,6459.948,7281.5754
23.217x27.926,23.217,27.926,6451.8168,7838.1586
24.171x27.919,24.171,27.919,6728.8584,7836.1209
24.133x26.965,24.133,26.965,6717.8232,7558.4115
23.159x27.0,23.159,27,6434.9736,7568.6
21.971x27.883,21.971,27.883,6089.9784,7825.6413
21.992x26.873,21.992,26.873,6096.0768,7531.6303
27.017x26.917,27.017,26.917,7555.3368,7544.4387
27.013x27.885,27.013,27.885,7554.1752,7826.2235
25.105x26.949,25.105,26.949,7000.092,7553.7539
26.095x27.828,26.095,27.828,7287.588,7809.6308
25.068x27.858,25.068,27.858,6989.3472,7818.3638
26.04x26.933,26.04,26.933,7271.616,7549.0963
15.942x26.943,15.942,26.943,4339.1568,7552.0073
16.002x27.941,16.002,27.941,4356.5808,7842.5251
15.102x26.951,15.102,26.951,4095.2208,7554.3361
15.035x27.891,15.035,27.891,4075.764,7827.9701
13.133x26.968,13.133,26.968,3523.4232,7559.2848
14.07x27.899,14.07,27.899,3795.528,7830.2989
13.979x26.983,13.979,26.983,3769.1016,7563.6513
13.087x27.961,13.087,27.961,3510.0648,7848.3471
10.892x26.911,10.892,26.911,2872.6368,7542.6921
12.139x28.005,12.139,28.005,3234.7656,7861.1555
12.068x26.999,12.068,26.999,3214.1472,7568.3089
16.981x26.937,16.981,26.937,4640.8824,7550.2607
18.038x27.974,18.038,27.974,4947.8352,7852.1314
18.004x26.964,18.004,26.964,4937.9616,7558.1204
16.996x27.901,16.996,27.901,4645.2384,7830.8811
14.058x28.995,14.058,28.995,3792.0432,8149.3445
15.956x28.912,15.956,28.912,4343.2224,8125.1832
15.037x28.942,15.037,28.942,4076.3448,8133.9162
16.969x28.883,16.969,28.883,4637.3976,8116.7413
9.92x26.907,9.92,26.907,2590.368,7541.5277
7.962x22.994,7.962,22.994,2021.7648,6402.4534
20.973x26.907,20.973,26.907,5800.1592,7541.5277
18.97x26.953,18.97,26.953,5218.488,7554.9183
27.93x26.89,27.93,26.89,7820.472,7536.579
24.114x28.955,24.114,28.955,6712.3056,8137.7005
25.134x28.934,25.134,28.934,7008.5136,8131.5874
29.961x18.97,29.961,18.97,8410.2744,5231.067
